"start_local","end_local","court","division","stage","round","contest_id","possible_entrants"
"05/09/2026 12:00","05/09/2026 12:30","venue.courts.1","advanced","advanced.pools","pool-round-1","advanced.pools.P3.R1.M1","advanced.team.5|advanced.team.6"
"05/09/2026 12:00","05/09/2026 12:30","venue.courts.2","advanced","advanced.pools","pool-round-1","advanced.pools.P1.R1.M5","advanced.team.11|advanced.team.2"
"05/09/2026 12:00","05/09/2026 12:30","venue.courts.3","advanced","advanced.pools","pool-round-1","advanced.pools.P2.R1.M3","advanced.team.3|advanced.team.9"
"05/09/2026 12:00","05/09/2026 12:30","venue.courts.4","beginner","beginner.pools","pool-round-1","beginner.pools.P5.R1.M3","beginner.team.17|beginner.team.8"
"05/09/2026 12:00","05/09/2026 12:30","venue.courts.5","beginner","beginner.pools","pool-round-1","beginner.pools.P3.R1.M1","beginner.team.10|beginner.team.3"
"05/09/2026 12:00","05/09/2026 12:30","venue.courts.6","advanced","advanced.pools","pool-round-1","advanced.pools.P1.R1.M2","advanced.team.1|advanced.team.10"
"05/09/2026 12:00","05/09/2026 12:30","venue.courts.7","advanced","advanced.pools","pool-round-1","advanced.pools.P2.R1.M4","advanced.team.4|advanced.team.8"
"05/09/2026 12:30","05/09/2026 13:00","venue.courts.1","intermediate","intermediate.pools","pool-round-1","intermediate.pools.P3.R1.M3","intermediate.team.13|intermediate.team.8"
"05/09/2026 12:30","05/09/2026 13:00","venue.courts.2","advanced","advanced.pools","pool-round-1","advanced.pools.P1.R1.M6","advanced.team.10|advanced.team.11"
"05/09/2026 12:30","05/09/2026 13:00","venue.courts.3","intermediate","intermediate.pools","pool-round-1","intermediate.pools.P1.R1.M5","intermediate.team.10|intermediate.team.17"
"05/09/2026 12:30","05/09/2026 13:00","venue.courts.4","advanced","advanced.pools","pool-round-1","advanced.pools.P3.R1.M3","advanced.team.6|advanced.team.7"
"05/09/2026 12:30","05/09/2026 13:00","venue.courts.5","advanced","advanced.pools","pool-round-1","advanced.pools.P2.R1.M1","advanced.team.3|advanced.team.4"
"05/09/2026 12:30","05/09/2026 13:00","venue.courts.6","advanced","advanced.pools","pool-round-1","advanced.pools.P1.R1.M1","advanced.team.1|advanced.team.2"
"05/09/2026 12:30","05/09/2026 13:00","venue.courts.7","advanced","advanced.pools","pool-round-1","advanced.pools.P2.R1.M6","advanced.team.8|advanced.team.9"
"05/09/2026 13:00","05/09/2026 13:30","venue.courts.1","intermediate","intermediate.pools","pool-round-1","intermediate.pools.P3.R1.M2","intermediate.team.13|intermediate.team.3"
"05/09/2026 13:00","05/09/2026 13:30","venue.courts.2","intermediate","intermediate.pools","pool-round-1","intermediate.pools.P1.R1.M4","intermediate.team.10|intermediate.team.11"
"05/09/2026 13:00","05/09/2026 13:30","venue.courts.3","advanced","advanced.pools","pool-round-1","advanced.pools.P2.R1.M5","advanced.team.4|advanced.team.9"
"05/09/2026 13:00","05/09/2026 13:30","venue.courts.4","advanced","advanced.pools","pool-round-1","advanced.pools.P2.R1.M2","advanced.team.3|advanced.team.8"
"05/09/2026 13:00","05/09/2026 13:30","venue.courts.5","advanced","advanced.pools","pool-round-1","advanced.pools.P3.R1.M2","advanced.team.5|advanced.team.7"
"05/09/2026 13:00","05/09/2026 13:30","venue.courts.6","advanced","advanced.pools","pool-round-1","advanced.pools.P1.R1.M3","advanced.team.1|advanced.team.11"
"05/09/2026 13:00","05/09/2026 13:30","venue.courts.7","advanced","advanced.pools","pool-round-1","advanced.pools.P1.R1.M4","advanced.team.10|advanced.team.2"
"05/09/2026 13:30","05/09/2026 14:00","venue.courts.1","intermediate","intermediate.pools","pool-round-1","intermediate.pools.P3.R1.M1","intermediate.team.3|intermediate.team.8"
"05/09/2026 13:30","05/09/2026 14:00","venue.courts.2","advanced","advanced.consolation","round-1","advanced.consolation.R1.M2","advanced.team.10|advanced.team.3"
"05/09/2026 13:30","05/09/2026 14:00","venue.courts.3","beginner","beginner.pools","pool-round-1","beginner.pools.P4.R1.M2","beginner.team.16|beginner.team.4"
"05/09/2026 13:30","05/09/2026 14:00","venue.courts.4","beginner","beginner.pools","pool-round-1","beginner.pools.P1.R1.M6","beginner.team.13|beginner.team.19"
"05/09/2026 13:30","05/09/2026 14:00","venue.courts.5","beginner","beginner.pools","pool-round-1","beginner.pools.P2.R1.M2","beginner.team.14|beginner.team.2"
"05/09/2026 13:30","05/09/2026 14:00","venue.courts.6","advanced","advanced.consolation","round-1","advanced.consolation.R1.M3","advanced.team.11|advanced.team.6"
"05/09/2026 13:30","05/09/2026 14:00","venue.courts.7","advanced","advanced.consolation","round-1","advanced.consolation.R1.M4","advanced.team.4|advanced.team.7"
"05/09/2026 14:00","05/09/2026 14:30","venue.courts.1","intermediate","intermediate.pools","pool-round-1","intermediate.pools.P4.R1.M1","intermediate.team.4|intermediate.team.7"
"05/09/2026 14:00","05/09/2026 14:30","venue.courts.2","intermediate","intermediate.pools","pool-round-1","intermediate.pools.P2.R1.M3","intermediate.team.16|intermediate.team.2"
"05/09/2026 14:00","05/09/2026 14:30","venue.courts.3","beginner","beginner.pools","pool-round-1","beginner.pools.P3.R1.M3","beginner.team.10|beginner.team.15"
"05/09/2026 14:00","05/09/2026 14:30","venue.courts.4","beginner","beginner.pools","pool-round-1","beginner.pools.P5.R1.M2","beginner.team.17|beginner.team.5"
"05/09/2026 14:00","05/09/2026 14:30","venue.courts.5","beginner","beginner.pools","pool-round-1","beginner.pools.P4.R1.M3","beginner.team.16|beginner.team.9"
"05/09/2026 14:00","05/09/2026 14:30","venue.courts.6","beginner","beginner.pools","pool-round-1","beginner.pools.P2.R1.M1","beginner.team.11|beginner.team.2"
